"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YCC1113","L9","AY2021-1","1-6, 8-14",1,"14:30","16:00","Y-CR15","YNC"
"YCC1113","L9","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-CR15","YNC"
"YCC1113","L10","AY2021-1","1-6, 8-14",1,"14:30","16:00","UTERC-ALR","UTown"
"YCC1113","L10","AY2021-1","1-6, 8-14",4,"14:30","16:00","UTERC-ALR","UTown"
"YCC1113","L11","AY2021-1","1-6, 8-14",1,"14:30","16:00","Y-BlackBox","YNC"
"YCC1113","L11","AY2021-1","1-6, 8-14",4,"14:30","16:00","UTSRC-LT52","UTown"
"YCC1113","L12","AY2021-1","1-6, 8-14",1,"18:00","19:30","Y-CompLab","YNC"
"YCC1113","L12","AY2021-1","1-6, 8-14",4,"18:00","19:30","Y-CompLab","YNC"
"YCC1113","L13","AY2021-1","1-6, 8-14",1,"14:30","16:00","Y-GLRm1","YNC"
"YCC1113","L13","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-GLRm1","YNC"
"YCC1113","L14","AY2021-1","1-6, 8-14",1,"14:30","16:00","Y-CR17","YNC"
"YCC1113","L14","AY2021-1","1-6, 8-14",4,"14:30","16:00","Y-CR17","YNC"
"YCC1121","L1","AY2021-1","1-6, 8-14",2,"18:00","19:30","UT-AUD03","UTown"
"YCC1121","L1","AY2021-1","1-6, 8-14",5,"18:00","19:30","UT-AUD03","UTown"
"YCC1121","L2","AY2021-1","1-6, 8-14",2,"10:30","12:00","UTSRC-LT53","UTown"
"YCC1121","L2","AY2021-1","1-6, 8-14",5,"10:30","12:00","UTSRC-LT53","UTown"
"YCC1121","L3","AY2021-1","1-6, 8-14",2,"18:00","19:30","Y-GLRm1","YNC"
"YCC1121","L3","AY2021-1","1-6, 8-14",5,"18:00","19:30","Y-GLRm1","YNC"
"YCC1121","L5","AY2021-1","1-6, 8-14",2,"18:00","19:30","UTERC-ALR","UTown"
"YCC1121","L5","AY2021-1","1-6, 8-14",5,"18:00","19:30","UTERC-ALR","UTown"
"YCC1121","L6","AY2021-1","1-6, 8-14",2,"10:30","12:00","Y-GLRm1","YNC"
"YCC1121","L6","AY2021-1","1-6, 8-14",6,"10:30","12:00","Y-GLRm1","YNC"
"YCC1121","L8","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-CR15","YNC"
"YCC1121","L8","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-CR15","YNC"
"YCC1121","L9","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-CR17","YNC"
